company_name,business_no,m202411_job_code,m202411_annual_salary,m202411_new_hires,m202411_separations,m202412_job_code,m202412_annual_salary,m202412_new_hires,m202412_separations,m202501_job_code,m202501_annual_salary,m202501_new_hires,m202501_separations,m202502_job_code,m202502_annual_salary,m202502_new_hires,m202502_separations,m202503_job_code,m202503_annual_salary,m202503_new_hires,m202503_separations,m202504_job_code,m202504_annual_salary,m202504_new_hires,m202504_separations,m202505_job_code,m202505_annual_salary,m202505_new_hires,m202505_separations,m202506_job_code,m202506_annual_salary,m202506_new_hires,m202506_separations,m202507_job_code,m202507_annual_salary,m202507_new_hires,m202507_separations,m202508_job_code,m202508_annual_salary,m202508_new_hires,m202508_separations,m202509_job_code,m202509_annual_salary,m202509_new_hires,m202509_separations,m202510_job_code,m202510_annual_salary,m202510_new_hires,m202510_separations
주식회사 에버크린,307860,4.0,1403440.0,0.0,0.0,4.0,1403440.0,0.0,0.0,4.0,1403440.0,0.0,0.0,4.0,1403440.0,0.0,0.0,4.0,1403440.0,0.0,1.0,3.0,908440.0,0.0,0.0,3.0,908440.0,0.0,0.0,3.0,908440.0,0.0,0.0,3.0,966680.0,0.0,0.0,3.0,966680.0,0.0,0.0,3.0,966680.0,0.0,0.0,3,966680.0,0.0,1.0
(주) 대림에이. 티. 시,314811,13.0,4154600.0,0.0,0.0,13.0,4154600.0,0.0,1.0,13.0,4191140.0,1.0,0.0,13.0,4191140.0,0.0,2.0,11.0,3743220.0,0.0,0.0,12.0,3972720.0,1.0,0.0,13.0,4161720.0,1.0,0.0,13.0,4161720.0,0.0,1.0,12.0,4111760.0,0.0,0.0,12.0,4111760.0,0.0,0.0,12.0,4111760.0,0.0,0.0,12,4111760.0,0.0,0.0
(주)지명건설(일용)대전1~2산단 하수관로 분류화사업 중 토목추진공사,314863,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1061080.0,3.0,0.0,3.0,1031380.0,1.0,0.0,10.0,2963680.0,7.0,3.0,11.0,3692700.0,4.0,0.0,11.0,3692700.0,0.0,5.0,12,4467540.0,6.0,7.0
(주)파인엔지니어링/일용/중앙도서관 5층 디지털미디어룸 외 1개소 전기공사,303818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1038240.0,4.0,0.0,4.0,995120.0,0.0,0.0,4.0,995120.0,0.0,4.0,0,0.0,0.0,0.0
㈜메이크잇엔터테인먼트,394880,,,,,,,,,,,,,,,,,,,,,10.0,3306460.0,1.0,6.0,6.0,2350960.0,2.0,1.0,6.0,2137660.0,1.0,0.0,6.0,2144600.0,0.0,0.0,6.0,2144600.0,0.0,0.0,6.0,2144600.0,0.0,1.0,5,1922660.0,0.0,2.0
대영개발(주)-건설일용관리,306812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2084400.0,5.0,4.0,,,,,0,,,
아트윈텍주식회사,374860,10.0,1930400.0,0.0,0.0,10.0,1930400.0,0.0,0.0,10.0,1930400.0,0.0,0.0,11.0,2155400.0,1.0,0.0,11.0,2155400.0,0.0,1.0,10.0,1885400.0,0.0,0.0,10.0,1885400.0,0.0,1.0,9.0,1660400.0,0.0,0.0,9.0,1990940.0,0.0,1.0,8.0,1720940.0,0.0,0.0,8.0,1720940.0,0.0,1.0,7,1473900.0,0.0,0.0
주식회사 다리메이커,357880,6.0,1020580.0,0.0,0.0,6.0,1020580.0,0.0,2.0,4.0,647980.0,0.0,0.0,4.0,647980.0,0.0,1.0,3.0,461240.0,0.0,0.0,3.0,461240.0,0.0,0.0,4.0,659240.0,1.0,0.0,5.0,901340.0,1.0,1.0,4.0,703700.0,0.0,1.0,3.0,505700.0,0.0,0.0,3.0,505700.0,0.0,0.0,4,581120.0,1.0,0.0
주식회사 엔이엔텍,304880,3.0,1182320.0,0.0,0.0,3.0,630000.0,0.0,0.0,3.0,630000.0,0.0,0.0,3.0,630000.0,0.0,0.0,3.0,630000.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
주식회사 엔지지미디어,370810,3.0,639000.0,0.0,0.0,3.0,639000.0,0.0,0.0,3.0,639000.0,0.0,0.0,3.0,639000.0,0.0,0.0,3.0,639000.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
